lake,date,month,day,year,time,tow,proc_date,id,total_vol,subsample_vol,subsample,family,number
SB,2018-06-13,6,13,2018,Night,1,10/18/2018,Matt,100,1,3,Bosminidae,2
SB,2018-06-13,6,13,2018,Night,2,9/28/2018,Matt,100,1,1,Bosminidae,5
SB,2018-06-13,6,13,2018,Night,1,10/18/2018,Matt,100,1,1,Bosminidae,5
SB,2018-06-13,6,13,2018,Night,2,9/28/2018,Matt,100,1,2,Bosminidae,6
SB,2018-06-13,6,13,2018,Night,1,10/18/2018,Matt,100,1,2,Bosminidae,6
SB,2018-06-13,6,13,2018,Night,3,10/22/2018,Matt,100,1,3,Bosminidae,6
SB,2018-06-13,6,13,2018,Night,3,10/22/2018,Matt,100,1,2,Bosminidae,7
SB,2018-06-13,6,13,2018,Night,2,9/28/2018,Matt,100,1,3,Bosminidae,8
SB,2018-06-13,6,13,2018,Night,3,10/22/2018,Matt,100,1,1,Bosminidae,8
MCD,2018-06-15,6,15,2018,Day,3,1/10/2019,Matt,100,1,2,Bosminidae,3
MCD,2018-06-15,6,15,2018,Day,3,1/10/2019,Matt,100,1,1,Bosminidae,6
SB,2018-06-15,6,15,2018,Day,2,1/11/2019,Matt,100,1,2,Bosminidae,7
SB,2018-06-15,6,15,2018,Day,2,1/11/2019,Matt,100,1,3,Bosminidae,12
SB,2018-06-15,6,15,2018,Day,2,1/11/2019,Matt,100,1,1,Bosminidae,13
MCD,2018-06-19,6,19,2018,Night,2,11/2/2018,Matt,100,1,1,Bosminidae,2
MCD,2018-06-19,6,19,2018,Night,1,1/11/2019,Matt,100,1,2,Bosminidae,2
MCD,2018-06-19,6,19,2018,Night,1,1/11/2019,Matt,100,1,1,Bosminidae,3
MCD,2018-06-19,6,19,2018,Night,1,1/11/2019,Matt,100,1,3,Bosminidae,3
SB,2018-06-19,6,19,2018,Night,2,10/22/2018,Matt,100,1,1,Bosminidae,4
SB,2018-06-19,6,19,2018,Night,1,11/6/2018,Matt,100,1,2,Bosminidae,4
SB,2018-06-19,6,19,2018,Night,1,11/6/2018,Matt,100,1,3,Bosminidae,4
MCD,2018-06-19,6,19,2018,Night,2,11/2/2018,Matt,100,1,2,Bosminidae,5
MCD,2018-06-19,6,19,2018,Night,2,11/2/2018,Matt,100,1,3,Bosminidae,5
SB,2018-06-19,6,19,2018,Night,1,11/6/2018,Matt,100,1,1,Bosminidae,6
SB,2018-06-19,6,19,2018,Night,2,10/22/2018,Matt,100,1,2,Bosminidae,8
SB,2018-06-19,6,19,2018,Night,2,10/22/2018,Matt,100,1,3,Bosminidae,8
MCD,2018-06-23,6,23,2018,Day,3,1/2/2019,Matt,100,1,1,Bosminidae,1
SB,2018-06-23,6,23,2018,Day,2,1/8/2019,Matt,100,1,1,Bosminidae,1
SB,2018-06-23,6,23,2018,Day,2,1/8/2019,Matt,100,1,2,Bosminidae,1
MCD,2018-06-23,6,23,2018,Day,1,1/12/2019,Matt,100,1,3,Bosminidae,1
SB,2018-06-23,6,23,2018,Day,3,1/2/2019,Matt,100,1,1,Bosminidae,2
SB,2018-06-23,6,23,2018,Day,3,1/2/2019,Matt,100,1,2,Bosminidae,2
MCD,2018-06-23,6,23,2018,Day,3,1/2/2019,Matt,100,1,3,Bosminidae,2
SB,2018-06-23,6,23,2018,Day,1,1/8/2019,Matt,100,1,3,Bosminidae,2
SB,2018-06-23,6,23,2018,Day,2,1/8/2019,Matt,100,1,3,Bosminidae,2
MCD,2018-06-23,6,23,2018,Day,1,1/12/2019,Matt,100,1,1,Bosminidae,2
MCD,2018-06-23,6,23,2018,Day,3,1/2/2019,Matt,100,1,2,Bosminidae,3
SB,2018-06-23,6,23,2018,Day,1,1/7/2019,Matt,100,1,1,Bosminidae,3
MCD,2018-06-23,6,23,2018,Day,2,7/24/2018,Matt,100,1,1,Bosminidae,4
SB,2018-06-23,6,23,2018,Day,3,1/2/2019,Matt,100,1,3,Bosminidae,4
MCD,2018-06-23,6,23,2018,Day,1,1/12/2019,Matt,100,1,2,Bosminidae,4
SB,2018-06-23,6,23,2018,Day,1,1/8/2019,Matt,100,1,2,Bosminidae,5
MCD,2018-06-26,6,26,2018,Night,1,10/1/2018,Matt,100,1,1,Bosminidae,1
MCD,2018-06-26,6,26,2018,Night,1,10/1/2018,Matt,100,1,2,Bosminidae,1
MCD,2018-06-26,6,26,2018,Night,1,10/1/2018,Matt,100,1,3,Bosminidae,1
SB,2018-06-26,6,26,2018,Night,1,10/15/2018,Matt,100,1,1,Bosminidae,1
SB,2018-06-26,6,26,2018,Night,2,10/15/2018,Matt,100,1,3,Bosminidae,1
MCD,2018-06-26,6,26,2018,Night,2,10/24/2018,Matt,100,1,2,Bosminidae,1
MCD,2018-06-26,6,26,2018,Night,2,10/24/2018,Matt,100,1,3,Bosminidae,1
MCD,2018-06-26,6,26,2018,Night,3,10/1/2018,Matt,100,1,1,Bosminidae,2
SB,2018-06-26,6,26,2018,Night,3,10/15/2018,Matt,100,1,1,Bosminidae,2
SB,2018-06-26,6,26,2018,Night,3,10/15/2018,Matt,100,1,3,Bosminidae,2
SB,2018-06-26,6,26,2018,Night,1,10/15/2018,Matt,100,1,2,Bosminidae,2
SB,2018-06-26,6,26,2018,Night,1,10/15/2018,Matt,100,1,3,Bosminidae,2
SB,2018-06-26,6,26,2018,Night,2,10/15/2018,Matt,100,1,2,Bosminidae,3
SB,2018-06-26,6,26,2018,Night,3,10/15/2018,Matt,100,1,2,Bosminidae,4
SB,2018-06-26,6,26,2018,Night,2,10/15/2018,Matt,100,1,1,Bosminidae,5
SB,2018-07-06,7,6,2018,Day,1,1/8/2019,Matt,100,1,1,Bosminidae,1
SB,2018-07-06,7,6,2018,Day,1,1/8/2019,Matt,100,1,2,Bosminidae,1
SB,2018-07-06,7,6,2018,Day,1,1/8/2019,Matt,100,1,3,Bosminidae,1
MCD,2018-07-06,7,6,2018,Day,3,1/8/2019,Matt,100,1,1,Bosminidae,1
SB,2018-07-06,7,6,2018,Day,3,1/7/2019,Matt,100,1,1,Bosminidae,2
SB,2018-07-06,7,6,2018,Day,3,1/7/2019,Matt,100,1,2,Bosminidae,2
MCD,2018-07-06,7,6,2018,Day,1,1/8/2019,Matt,100,1,1,Bosminidae,2
SB,2018-07-10,7,10,2018,Night,2,10/8/2018,Matt,100,1,2,Bosminidae,1
MCD,2018-07-10,7,10,2018,Night,3,10/19/2018,Matt,100,1,3,Bosminidae,1
SB,2018-07-10,7,10,2018,Night,1,1/7/2019,Matt,100,1,2,Bosminidae,1
SB,2018-07-17,7,17,2018,Night,1,1/7/2019,Matt,100,1,2,Bosminidae,1
SB,2018-07-17,7,17,2018,Night,2,1/2/2019,Matt,100,1,1,Bosminidae,2
SB,2018-07-17,7,17,2018,Night,2,1/2/2019,Matt,100,1,2,Bosminidae,2
SB,2018-07-17,7,17,2018,Night,3,1/6/2019,Matt,100,1,2,Bosminidae,2
SB,2018-07-17,7,17,2018,Night,1,1/7/2019,Matt,100,1,1,Bosminidae,2
SB,2018-07-17,7,17,2018,Night,2,1/2/2019,Matt,100,1,3,Bosminidae,3
SB,2018-07-17,7,17,2018,Night,3,1/6/2019,Matt,100,1,3,Bosminidae,3
MCD,2018-07-17,7,17,2018,Day,3,1/12/2019,Matt,100,1,2,Bosminidae,3
MCD,2018-07-31,7,31,2018,unk,3,1/6/2019,Matt,100,1,1,Bosminidae,1
SB,2018-07-31,7,31,2018,unk,2,1/7/2019,Matt,100,1,2,Bosminidae,1
SB,2018-08-06,8,6,2018,unk,3,1/4/2019,Matt,100,1,2,Bosminidae,2
SB,2018-08-06,8,6,2018,unk,3,1/4/2019,Matt,100,1,3,Bosminidae,2
SB,2018-08-06,8,6,2018,unk,2,1/4/2019,Matt,100,1,1,Bosminidae,2
SB,2018-08-06,8,6,2018,unk,1,1/4/2019,Matt,100,1,1,Bosminidae,3
SB,2018-08-06,8,6,2018,unk,1,1/4/2019,Matt,100,1,3,Bosminidae,3
MCD,2018-08-09,8,9,2018,unk,2,1/3/2019,Matt,100,1,1,Bosminidae,1
MCD,2018-08-09,8,9,2018,unk,3,1/3/2019,Matt,100,1,2,Bosminidae,1
